,name,Tullio_Data,Satus,comment,resolution,dyn_phase,EOS,M1,M2,Mb1,Mb2,Mb,Mg1,Mg2,R1,R2,C1,C2,k21,k22,lam21,lam22,Lambda,k2T,tend,fate,MADM,EGW,JADM,JGW,f0,fpeak,tmerg_r,tcoll,tend.1,Mdisk,Mdisk3D,Mej,dMej,Munb,Munb_bern,ThetaRMS,Yeej,Sej,vej,Ekej,chi2_3c,chi2_4c
0,DD2_M13641364_M0_LK_LR_R04,,,R04,,passed,DD2,1364.0,1364.0,1.4873,1.4873,2.9746,1.3522908817700001,1.3522908817700001,8.940910431639997,8.940910431639997,0.151247857097,0.151247857097,0.100905720279,0.100905720279,849.935135478,849.935135478,849.9351354777667,159.36012022924925,0.13048233845779206,,2.70356,0.0463131470979,7.4056,1.62018380833,282.65917893120616,2589.56838906,0.007484609869479961,inf,0.13048233845779206,,,0.0009234,0.0,3.2670156988420965e-05,0.017054845639985862,38.33748272322318,0.26722850068548026,27.953776769005852,0.15721353673976607,0.02039851120985528,45577.897933729524,41180.5677763246
1,DD2_M13641364_M0_LK_SR_R04,,,R04,,passed,DD2,1364.0,1364.0,1.4873,1.4873,2.9746,1.3522908817700001,1.3522908817700001,8.940910431639997,8.940910431639997,0.151247857097,0.151247857097,0.100905720279,0.100905720279,849.935135478,849.935135478,849.9351354777667,159.36012022924925,0.05882581385896109,,2.70356,0.0491811202964,7.4056,1.74301048783,282.65917893120616,2489.96960486,0.0077722762957731124,inf,0.05882581385896109,,,0.00145906,0.0,0.0018631254538395824,0.025817677585338563,39.10483596757658,0.27956244049051204,25.99417923905117,0.15358199686270613,0.030759625088874483,37273.33376673904,31310.882339908116
2,DD2_M13641364_M0_LR,,,R01,,passed,DD2,1364.0,1364.0,1.4906,1.4906,2.9812,1.3550181831499999,1.3550181831499999,8.941079146760002,8.941079146760002,0.151549928553,0.151549928553,0.10077583372400001,0.10077583372400001,840.4102373239999,840.4102373239999,840.4102373236123,157.57515136964088,0.05009336453477448,,2.70514,0.045105535127099985,7.4276,1.73658209496,283.3276296921921,2639.36778116,0.012181847953609222,inf,0.05009336453477448,,,0.0007697169999999997,0.0,0.0012298437496043187,0.02251692565649473,32.84142858501321,0.2065052696294099,22.117988581257787,0.17345057645082546,0.02069718031080179,45765.59901366137,42589.25821818968
3,DD2_M13641364_M0_LR_R04,,,R04,,passed,DD2,1364.0,1364.0,1.4873,1.4873,2.9746,1.3522908817700001,1.3522908817700001,8.940910431639997,8.940910431639997,0.151247857097,0.151247857097,0.100905720279,0.100905720279,849.935135478,849.935135478,849.9351354777667,159.36012022924925,0.10110095661612443,,2.70356,0.0523472143449,7.4056,1.8941016276499998,282.65917893120616,2489.96960486,0.009139676979659736,inf,0.10110095661612443,,,0.00119645,0.0,0.0017530378407728394,0.02675773807167619,37.562884094702476,0.24802886515156386,25.20560092791173,0.17210754467299094,0.031675406240879014,36797.454257886115,32258.39922733645
4,DD2_M13641364_M0_SR,,,R01,,passed,DD2,1364.0,1364.0,1.4906,1.4906,2.9812,1.3550181831499999,1.3550181831499999,8.941079146760002,8.941079146760002,0.151549928553,0.151549928553,0.10077583372400001,0.10077583372400001,840.4102373239999,840.4102373239999,840.4102373236123,157.57515136964088,0.1095181550621816,,2.70514,0.04220456104880002,7.4276,1.7400962070099997,283.3276296921921,2390.37082067,0.01240646420427648,inf,0.1095181550621816,,,0.00263355,0.0,0.0004602105213207916,0.017556100138146076,32.700278484096586,0.22638506493647625,18.4552968053388,0.14169050111738907,0.04725541514582203,32554.726994773016,25648.619746020275
5,DD2_M13641364_M0_SR_R04,,,R04,,passed,DD2,1364.0,1364.0,1.4873,1.4873,2.9746,1.3522908817700001,1.3522908817700001,8.940910431639997,8.940910431639997,0.151247857097,0.151247857097,0.100905720279,0.100905720279,849.935135478,849.935135478,849.9351354777667,159.36012022924925,0.08717474907475464,,2.70356,0.0479317557179,7.4056,1.7874287852500002,282.65917893120616,2539.76899696,0.009320946234584187,inf,0.08717474907475464,,,0.00102604,0.0,0.0012190687818710185,0.018455372634401446,36.81575205910953,0.24381166099236384,26.098977142119214,0.18772360350668602,0.03231690970280169,37206.99482521346,33515.62163321541
6,DD2_M14321300_M0_LR,,,R04,,passed,DD2,1432.0,1.3,1.5689,1.4109,2.9798,1.4194234563400001,1.28880146176,8.954098133130001,8.930219143939999,0.15852201486700002,0.144319142181,0.09702204219319999,0.104133353214,646.1377167730001,1108.86633759,847.6635642501843,159.02814694469785,0.05094454190572408,,2.70722,0.0451807773774,7.4062,1.7280737142500002,282.84698176405465,2440.17021277,0.009265628294598687,inf,0.05094454190572408,,,0.00124406,0.0,0.0015868644635563436,0.01819173396889351,35.313538573938125,0.2519476272551027,24.760454167765218,0.15981402220632446,0.028398670293588637,38560.26433482914,33751.060135327425
7,DD2_M14351298_M0_LR,,,R01,,passed,DD2,1435.0,1298.0,1.5743,1.4105,2.9848,1.42384261414,1.28846736986,8.95543757845,8.93012979813,0.158991692697,0.144283168519,0.0967289918761,0.10415131081399999,634.723987019,1110.44044957,840.8444014427437,157.75574966764574,0.03814535625366716,,2.7073,0.0410429378759,7.405689999999999,1.65253389976,282.8422071157618,2440.17021277,0.011771835525776536,inf,0.03814535625366716,,,0.00101215,0.0,0.0016390624218635382,0.022872682333191115,35.44737642386594,0.2338168482867357,21.046976423158625,0.18236004251889545,0.030083793383161736,38241.89362130728,34547.175270849075
8,DD2_M14861254_M0_LR,,,R01,,passed,DD2,1486.0,1254.0,1.6359,1.3583,2.9942,1.4740133838,1.24471363159,8.96166461003,8.91309676871,0.16447984299,0.13964987454299999,0.0937810452991,0.106731976282,519.349649344,1339.67094521,837.8555014749272,157.37069379166357,0.04028906222494763,,2.71388,0.033996947724099995,7.40895,1.45945741486,283.32444659333026,2440.17021277,0.01188191268553238,inf,0.04028906222494763,,,0.0016582,0.0,0.0018889359018157336,0.03276322503770366,31.114676933432182,0.1985926985781328,16.63100442630563,0.16517801801471474,0.0404361874531572,32851.05461256525,28426.42682813373
9,DD2_M14971246_M0_LR,,,,,passed,DD2,1497.0,1246.0,,,,,,,,,,,,,,,,0.046562554699724285,,,0.0379085046316,,1.53497053581,,2440.17021277,0.009280981289463064,inf,0.046562554699724285,,,0.00124425,0.0,0.0014207997946042187,0.02622073275601021,32.15101966171285,0.20623049896054246,20.210495048157526,0.17586470166526022,0.034394765662094866,,
10,DD2_M15091235_M0_LK_SR,,,R04,,passed,DD2,1509.0,1235.0,1.6632,1.3343,2.9975,1.49611454524,1.2245144021799999,8.96395661617,8.91186674116,0.166903256584,0.137402887702,0.0924482717295,0.107466500474,475.861252986,1462.87498411,839.5582280921059,157.7969963704104,0.027166744422808,,2.71968,0.0388174464407,7.40527,1.47946015724,283.28306630812637,2489.96960486,0.007748036684662964,inf,0.027166744422808,,,0.00268757,0.0004229435747290284,0.0031704992594988827,0.028389415957575836,30.30340368100475,0.1980137821952377,15.548060684224039,0.18235481651264893,0.07987730190124821,27195.501745170503,22171.241094616267
11,DD2_T05_15491205_45km_M0corot,,,R04_corot,,passed,DD2,1549.0,1205.0,1.7117,1299.0,3.0107,1.5352028707700005,1.19467633413,8.97075922091,8.901620423230002,0.171134158427,0.134209044827,0.0898696465327,0.108984794551,408.168571016,1668.66794411,833.4635530971727,156.8599555130242,0.05769091069769496,,2.73164,0.0312485282735,8.0226,1.4158720030899998,282.5461789216109,2489.96960486,0.010115987007287386,inf,0.05769091069769496,,,0.00492247,0.0,0.0017091156210694276,0.05697371060409458,16.727400123759967,0.08056309366250987,7.720771767222552,0.13611873367130733,0.08151683174128507,28586.40209662873,24120.434570491594
12,DD2_T05_15491205_45km_M0LKcorot,,,R04_corot,,passed,DD2,1549.0,1205.0,1.7117,1299.0,3.0107,1.5352028707700005,1.19467633413,8.97075922091,8.901620423230002,0.171134158427,0.134209044827,0.0898696465327,0.108984794551,408.168571016,1668.66794411,833.4635530971727,156.8599555130242,0.037199603619278716,,2.73164,0.0359622214852,8.0226,1.53663265943,282.5461789216109,2440.17021277,0.010100224463380913,inf,0.037199603619278716,,,0.00545038,0.0,0.004991489337136919,0.040863997799032464,18.447663602016426,0.08852219418521699,8.185716115628635,0.14367464983303915,0.10055785903980947,26854.5888802956,21793.135162973285
