,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,name,Mej,vej,Mdisk,Yeej,geometry,chi2,Unnamed: 8
0,0,0,0,0,$M_{ej}$ range,0.00657073,0.1813846883546216,0.06293493863471805,0.1835692435557267,aniso1comp,10981361.87298112,
1,1,1,1,1,$M_{ej}$ range,0.0017980113581159997,0.1813846883546216,0.06293493863471805,0.1835692435557267,aniso1comp,20592342.11947882,20592342.11947882
2,2,2,2,2,$M_{ej}$ range,0.0007697169999999997,0.1813846883546216,0.06293493863471805,0.1835692435557267,aniso1comp,28818873.34815166,
3,3,3,3,3,$M_{ej}$ range,0.00657073,0.1813846883546216,0.06293493863471805,0.1835692435557267,aniso2comp,2114752.8780954126,
4,4,4,4,4,$M_{ej}$ range,0.0017980113581159997,0.1813846883546216,0.06293493863471805,0.1835692435557267,aniso2comp,1911676.2986456093,1911676.298645609
5,5,5,5,5,$M_{ej}$ range,0.0007697169999999997,0.1813846883546216,0.06293493863471805,0.1835692435557267,aniso2comp,1566741.9532931237,
6,6,6,6,6,$M_{ej}$ range,0.00657073,0.1813846883546216,0.06293493863471805,0.1835692435557267,aniso3comp,158681.5122999792,
7,7,7,7,7,$M_{ej}$ range,0.0017980113581159997,0.1813846883546216,0.06293493863471805,0.1835692435557267,aniso3comp,123187.39389848003,123187.39389848006
8,8,8,8,8,$M_{ej}$ range,0.0007697169999999997,0.1813846883546216,0.06293493863471805,0.1835692435557267,aniso3comp,106299.04687132445,
9,9,9,9,9,$V_{ej}$ range,0.0017980113581159997,0.2469188118026096,0.06293493863471805,0.1835692435557267,aniso1comp,25860898.951156165,
10,10,10,10,10,$V_{ej}$ range,0.0017980113581159997,0.1813846883546216,0.06293493863471805,0.1835692435557267,aniso1comp,20592342.11947882,
11,11,11,11,11,$V_{ej}$ range,0.0017980113581159997,0.17692462291487798,0.06293493863471805,0.1835692435557267,aniso1comp,20222228.75270349,
12,12,12,12,12,$V_{ej}$ range,0.0017980113581159997,0.2469188118026096,0.06293493863471805,0.1835692435557267,aniso2comp,2181490.3316029096,
13,13,13,13,13,$V_{ej}$ range,0.0017980113581159997,0.1813846883546216,0.06293493863471805,0.1835692435557267,aniso2comp,1911676.2986456093,
14,14,14,14,14,$V_{ej}$ range,0.0017980113581159997,0.17692462291487798,0.06293493863471805,0.1835692435557267,aniso2comp,1883087.1831172449,
15,15,15,15,15,$V_{ej}$ range,0.0017980113581159997,0.2469188118026096,0.06293493863471805,0.1835692435557267,aniso3comp,123073.99998065311,
16,16,16,16,16,$V_{ej}$ range,0.0017980113581159997,0.1813846883546216,0.06293493863471805,0.1835692435557267,aniso3comp,123187.39389848003,
17,17,17,17,17,$V_{ej}$ range,0.0017980113581159997,0.17692462291487798,0.06293493863471805,0.1835692435557267,aniso3comp,122426.8834274139,
18,18,18,18,18,$M_{disk}$ range,0.0017980113581159997,0.1813846883546216,0.11641051283201778,0.1835692435557267,aniso1comp,20592342.11947882,
19,19,19,19,19,$M_{disk}$ range,0.0017980113581159997,0.1813846883546216,0.06293493863471805,0.1835692435557267,aniso1comp,20592342.11947882,
20,20,20,20,20,$M_{disk}$ range,0.0017980113581159997,0.1813846883546216,0.034942214901152666,0.1835692435557267,aniso1comp,20592342.11947882,
21,21,21,21,21,$M_{disk}$ range,0.0017980113581159997,0.1813846883546216,0.11641051283201778,0.1835692435557267,aniso2comp,1284343.1365599134,
22,22,22,22,22,$M_{disk}$ range,0.0017980113581159997,0.1813846883546216,0.06293493863471805,0.1835692435557267,aniso2comp,1911676.2986456093,
23,23,23,23,23,$M_{disk}$ range,0.0017980113581159997,0.1813846883546216,0.034942214901152666,0.1835692435557267,aniso2comp,2889233.908743658,
24,24,24,24,24,$M_{disk}$ range,0.0017980113581159997,0.1813846883546216,0.11641051283201778,0.1835692435557267,aniso3comp,27179.012793091053,
25,25,25,25,25,$M_{disk}$ range,0.0017980113581159997,0.1813846883546216,0.06293493863471805,0.1835692435557267,aniso3comp,123187.39389848003,
26,26,26,26,26,$M_{disk}$ range,0.0017980113581159997,0.1813846883546216,0.034942214901152666,0.1835692435557267,aniso3comp,497879.01379095507,
