,name,reliable,Tullio_Data,Satus,comment,resolution,dyn_phase,bern_phase,EOS,M1,M2,Mb1,Mb2,Mb,Mg1,Mg2,R1,R2,C1,C2,k21,k22,lam21,lam22,Lambda,k2T,tend,fate,MADM,EGW,JADM,JGW,f0,fpeak,tmerg_r,tcoll,tend.1,Mdisk,Mdisk3D,Mej,Munb,ThetaRMS,Yeej,Sej,vej,Ekej,Mej_bern,Munb_bern,ThetaRMS_bern,Yeej_bern,Sej_bern,vej_bern,Ekej_bern,chi2
0,DD2_M13641364_M0_LK_HR_R04,True,,,R04,,passed,not passed,DD2,1364.0,1364.0,1.4873,1.4873,2.9746,1.3522908817700001,1.3522908817700001,8.940910431639999,8.940910431639999,0.151247857097,0.151247857097,0.100905720279,0.100905720279,849.935135478,849.935135478,849.9351354777667,159.36012022924925,0.04216480494981805,,2.70356,0.0514477669178,7.4056,1.7968718979400002,282.65917893120616,2589.56838906,0.008217568161131004,inf,0.04216480494981805,,0.22546,0.00119318,0.0024513831473915357,39.82021671138284,0.2602782045704774,25.53466196332489,0.15847702492994353,0.026783529594277284,0.00499898,0.023264131537058426,31.139896391439915,0.2806891694172081,17.114466421882867,0.1662018689881336,0.12341891377067007,27900.523531125404
1,DD2_M13641364_M0_LK_LR_R04,True,,,R04,,passed,not passed,DD2,1364.0,1364.0,1.4873,1.4873,2.9746,1.3522908817700001,1.3522908817700001,8.940910431639999,8.940910431639999,0.151247857097,0.151247857097,0.100905720279,0.100905720279,849.935135478,849.935135478,849.9351354777667,159.36012022924925,0.13048233845779206,,2.70356,0.0463131470979,7.4056,1.62018380833,282.65917893120616,2589.56838906,0.007484609869479961,inf,0.13048233845779206,,,0.0009234,3.2670156988420965e-05,38.33748272322318,0.26722850068548026,27.953776769005852,0.15721353673976607,0.02039851120985528,0.0150763,0.017054845639985862,31.217329772869533,0.3132330307495702,18.525332557815247,0.16691648445149007,0.3754227199834525,86715.19826218365
2,DD2_M13641364_M0_LK_SR_R04,True,,,R04,,passed,not passed,DD2,1364.0,1364.0,1.4873,1.4873,2.9746,1.3522908817700001,1.3522908817700001,8.940910431639999,8.940910431639999,0.151247857097,0.151247857097,0.100905720279,0.100905720279,849.935135478,849.935135478,849.9351354777667,159.36012022924925,0.08398283393369364,,2.70356,0.049181129024,7.4056,1.7430240873700003,282.65917893120616,2489.96960486,0.0077722762957731124,inf,0.08398283393369364,,0.26345,0.00145917,0.002205210200702809,39.108800731214096,0.27957092727172733,25.99547827911073,0.1535725976702509,0.03075820214652307,0.0122659,0.025643455378831316,31.0020514603637,0.29088806332748784,17.31998570941309,0.16636448897751493,0.3034234140465199,60201.53015220519
3,DD2_M13641364_M0_LR,True,,,R01,,passed,not passed,DD2,1364.0,1364.0,1.4906,1.4906,2.9812,1.3550181831499999,1.3550181831499999,8.941079146760002,8.941079146760002,0.151549928553,0.151549928553,0.10077583372400001,0.10077583372400001,840.4102373239999,840.4102373239999,840.4102373236123,157.57515136964088,0.05009336453477448,,2.70514,0.0451055351271,7.4276,1.73658209496,283.3276296921921,2639.36778116,0.012181847953609222,inf,0.05009336453477448,,,0.0007697169999999998,0.0012298437496043187,32.84142858501321,0.2065052696294099,22.117988581257784,0.17345057645082546,0.02069718031080179,0.00561779,0.02251692565649473,30.775890239076034,0.276219575670416,16.891886710328794,0.1583760997762287,0.12594287924466593,34804.074527491495
4,DD2_M13641364_M0_LR_R04,True,,,R04,,passed,not passed,DD2,1364.0,1364.0,1.4873,1.4873,2.9746,1.3522908817700001,1.3522908817700001,8.940910431639999,8.940910431639999,0.151247857097,0.151247857097,0.100905720279,0.100905720279,849.935135478,849.935135478,849.9351354777667,159.36012022924925,0.10110095661612443,,2.70356,0.0523472143449,7.4056,1.8941016276499998,282.65917893120616,2489.96960486,0.009139676979659736,inf,0.10110095661612443,,,0.00119645,0.0017530378407728394,37.562884094702476,0.24802886515156386,25.20560092791173,0.17210754467299094,0.031675406240879014,0.014563499999999998,0.02675773807167619,29.03310735224288,0.2976174970425561,17.372114654102173,0.16540948819699933,0.3561357880229161,78670.30785601588
5,DD2_M13641364_M0_SR,True,,,R01,,passed,not passed,DD2,1364.0,1364.0,1.4906,1.4906,2.9812,1.3550181831499999,1.3550181831499999,8.941079146760002,8.941079146760002,0.151549928553,0.151549928553,0.10077583372400001,0.10077583372400001,840.4102373239999,840.4102373239999,840.4102373236123,157.57515136964088,0.1095181550621816,,2.70514,0.04220456104880001,7.4276,1.74009620701,283.3276296921921,2390.37082067,0.01240646420427648,inf,0.1095181550621816,,0.19596,0.00263355,0.0004602105213207916,32.700278484096586,0.22638506493647625,18.4552968053388,0.14169050111738907,0.04725541514582203,0.010218000000000001,0.017556100138146076,29.491283654047674,0.2877666097859068,16.6847869697556,0.16079387288628894,0.2361200546071417,44290.92479862006
6,DD2_M13641364_M0_SR_R04,True,,,R04,,passed,not passed,DD2,1364.0,1364.0,1.4873,1.4873,2.9746,1.3522908817700001,1.3522908817700001,8.940910431639999,8.940910431639999,0.151247857097,0.151247857097,0.100905720279,0.100905720279,849.935135478,849.935135478,849.9351354777667,159.36012022924925,0.11949584535497965,,2.70356,0.0479316558996,7.4056,1.78741114567,282.65917893120616,2539.76899696,0.009320946234584187,inf,0.11949584535497965,,0.21374,0.00102613,0.0013177729195267063,36.821304247922356,0.2438244369764113,26.10096300361552,0.18771129305448628,0.032315729253449124,0.0128624,0.01726492667247631,28.395627620998482,0.3088788285846551,18.07994297079736,0.16656882475765025,0.3189618604299609,69172.24104839793
7,DD2_M14321300_M0_LR,True,,,R04,,passed,not passed,DD2,1432.0,1.3,1.5689,1.4109,2.9798,1.4194234563400001,1.28880146176,8.954098133130001,8.930219143939999,0.15852201486700002,0.144319142181,0.09702204219319999,0.104133353214,646.1377167730001,1108.86633759,847.6635642501842,159.02814694469785,0.05094454190572408,,2.70722,0.0451807773774,7.4062,1.7280737142500002,282.84698176405465,2440.17021277,0.009265628294598687,inf,0.05094454190572408,,,0.00124406,0.0015868644635563436,35.313538573938125,0.2519476272551027,24.760454167765218,0.15981402220632446,0.028398670293588637,0.00513984,0.01819173396889351,31.476146313960037,0.26776366584451594,17.250684871960996,0.16149363888331156,0.11980904839105005,27389.308132616934
8,DD2_M14351298_M0_LR,True,,,R01,,passed,not passed,DD2,1435.0,1298.0,1.5743,1.4105,2.9848,1.42384261414,1.28846736986,8.95543757845,8.93012979813,0.158991692697,0.144283168519,0.0967289918761,0.10415131081399999,634.723987019,1110.44044957,840.8444014427437,157.75574966764574,0.03814535625366716,,2.7073,0.0410429378759,7.405689999999999,1.65253389976,282.8422071157618,2440.17021277,0.011771835525776536,inf,0.03814535625366716,,,0.00101215,0.0016390624218635382,35.44737642386594,0.2338168482867357,21.046976423158625,0.18236004251889545,0.030083793383161736,0.00138421,0.022872682333191115,32.7001040363246,0.25101625255162363,15.728793996098856,0.15659999333814956,0.03033985543216508,31429.674882541298
9,DD2_M14861254_M0_LR,True,,,R01,,passed,not passed,DD2,1486.0,1254.0,1.6359,1.3583,2.9942,1.4740133838,1.24471363159,8.96166461003,8.91309676871,0.16447984299,0.13964987454299999,0.0937810452991,0.106731976282,519.349649344,1339.67094521,837.8555014749272,157.37069379166357,0.04028906222494763,,2.71388,0.0339969477241,7.40895,1.45945741486,283.32444659333026,2440.17021277,0.01188191268553238,inf,0.04028906222494763,,,0.0016582,0.0018889359018157336,31.114676933432182,0.1985926985781328,16.63100442630563,0.16517801801471474,0.0404361874531572,0.00504141,0.03276322503770366,31.883385004683515,0.26589918614928065,15.657629088667655,0.15685199965406504,0.11085636153337894,23503.72561478439
